temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
0.0001094688414634,0.0001094688414634,0.0001094688414634,0.0005966486245249,0.001327576393741,"['1_LC08_172081_20190418', '1_LC08_172081_20190402', '1_LC08_172081_20190317', '1_LC08_172081_20190301', '2_LC08_172081_20190504']",0
2.440672577931233e-05,2.440672577931233e-05,2.440672577931233e-05,8.464253632092255e-05,0.000273316399297,"['1_LC08_176077_20190516', '1_LC08_176077_20190430', '1_LC08_176077_20190414', '1_LC08_176077_20190329', '2_LC08_176077_20190601']",0
0.0001679255642736,0.0001679255642736,0.0007084547195841,0.0011903167207567,0.0153146589066744,"['1_LC08_169081_20190718', '1_LC08_169081_20190702', '1_LC08_169081_20190616', '1_LC08_169081_20190531', '2_LC08_169081_20190803']",1
2.374711306957953e-05,2.374711306957953e-05,2.374711306957953e-05,2.374711306957953e-05,0.0012964628612025,"['1_LC08_167081_20190517', '1_LC08_167081_20190330', '1_LC08_167081_20181122', '2_LC08_167081_20190602']",0
6.869816098509372e-05,3.9285905810462215e-05,8.368506509332611e-05,0.0001294053272873,0.000205890121965,"['1_LC08_176077_20190719', '1_LC08_176077_20190703', '1_LC08_176077_20190617', '1_LC08_176077_20190601', '2_LC08_176077_20190804']",0
9.358845651619613e-06,9.358845651619613e-06,0.0003037730506365,0.0014004771582711,0.004208627361044,"['1_LC08_168076_20190217', '1_LC08_168076_20190201', '1_LC08_168076_20190116', '1_LC08_168076_20181231', '2_LC08_168076_20190305']",0
6.05088545261428e-05,6.05088545261428e-05,6.05088545261428e-05,6.05088545261428e-05,0.0008482311970411,"['1_LC08_175078_20190610', '1_LC08_175078_20190525', '1_LC08_175078_20190509', '1_LC08_175078_20190423', '2_LC08_175078_20190626']",0
0.0003633011431381,0.0001401232728621,0.0006057397666953,0.0013332025535597,0.0042712140783657,"['1_LC08_169080_20190429', '1_LC08_169080_20190413', '1_LC08_169080_20190328', '1_LC08_169080_20190224', '2_LC08_169080_20190515']",0
0.0011016216732183,8.116494358408245e-05,0.0020737991840978,0.0032920743632209,0.0064639696194599,"['1_LC08_168078_20190625', '1_LC08_168078_20190609', '1_LC08_168078_20190524', '1_LC08_168078_20190508', '2_LC08_168078_20190711']",1
4.148107562371146e-05,4.148107562371146e-05,4.148107562371146e-05,0.0001699328392805,0.0005453449261858,"['1_LC08_175081_20190423', '1_LC08_175081_20190407', '1_LC08_175081_20190322', '1_LC08_175081_20190306', '2_LC08_175081_20190509']",0
0.0001787629501742,6.1782562415505e-05,0.0003010570336628,0.0007910738061501,0.0022505990728949,"['1_LC08_173078_20190119', '1_LC08_173078_20190103', '1_LC08_173078_20181218', '1_LC08_173078_20181202', '2_LC08_173078_20190204']",0
7.704059940565104e-05,7.704059940565104e-05,7.704059940565104e-05,7.704059940565104e-05,0.001680288522921,"['1_LC08_171084_20190427', '1_LC08_171084_20190411', '1_LC08_171084_20190326', '1_LC08_171084_20190222', '2_LC08_171084_20190513']",0
8.456711985955433e-05,8.456711985955433e-05,0.000353719921865,0.0006000774277171,0.0020693395407511,"['1_LC08_170082_20191130', '1_LC08_170082_20191114', '1_LC08_170082_20191029', '1_LC08_170082_20191013', '2_LC08_170082_20191216']",0
