temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
0.0001281305615986,0.0001281305615986,0.0003534395113631,0.0005981163026846,0.001827383896079,"['1_LC08_172080_20190605', '1_LC08_172080_20190520', '1_LC08_172080_20190504', '1_LC08_172080_20190418', '2_LC08_172080_20190621']",1
0.0004248228027222,5.50138501556167e-05,0.000791643216057,0.0015247256176343,0.0032375600901376,"['1_LC08_169081_20190531', '1_LC08_169081_20190515', '1_LC08_169081_20190429', '1_LC08_169081_20190413', '2_LC08_169081_20190616']",1
0.00018054580006,7.394506980116533e-05,0.0003015149244726,0.00054550947244,0.0015275507744084,"['1_LC08_169079_20190819', '1_LC08_169079_20190803', '1_LC08_169079_20190718', '1_LC08_169079_20190702', '2_LC08_169079_20190904']",1
4.8977385579229415e-05,4.8977385579229415e-05,4.8977385579229415e-05,0.0003506205357597,0.0018195044031757,"['1_LC08_174084_20190315', '1_LC08_174084_20190227', '1_LC08_174084_20190126', '1_LC08_174084_20190110', '2_LC08_174084_20190331']",0
0.0001161366590523,0.0001161366590523,0.0003616348392712,0.0008460458398965,0.0020659949614341,"['1_LC08_176077_20190313', '1_LC08_176077_20190225', '1_LC08_176077_20190209', '1_LC08_176077_20190124', '2_LC08_176077_20190329']",0
0.0006123190953223,0.0001451392984017,0.0010967871333646,0.001824576374553,0.0032916076461384,"['1_LC08_169080_20190616', '1_LC08_169080_20190531', '1_LC08_169080_20190515', '1_LC08_169080_20190429', '2_LC08_169080_20190702']",1
7.031152326658443e-05,7.031152326658443e-05,7.031152326658443e-05,0.0003454013555726,0.0025641381573417,"['1_LC08_173084_20181218', '1_LC08_173084_20181202', '1_LC08_173084_20181116', '1_LC08_173084_20181031', '2_LC08_173084_20190103']",0
3.517399098171076e-05,3.517399098171076e-05,3.517399098171076e-05,3.517399098171076e-05,0.0015778941475827,"['1_LC08_172084_20190402', '1_LC08_172084_20190317', '1_LC08_172084_20190301', '1_LC08_172084_20190213', '2_LC08_172084_20190418']",0
1.9981197709924303e-05,1.9981197709924303e-05,1.9981197709924303e-05,1.9981197709924303e-05,0.0002106096549302,"['1_LC08_177079_20190131', '1_LC08_177079_20190115', '1_LC08_177079_20181230', '1_LC08_177079_20181214', '2_LC08_177079_20190216']",0
4.702139728874446e-05,4.702139728874446e-05,4.702139728874446e-05,0.0001712215218606,0.0006639370974062,"['1_LC08_171078_20190918', '1_LC08_171078_20190902', '1_LC08_171078_20190817', '1_LC08_171078_20190801', '2_LC08_171078_20191004']",1
0.000607685067346,0.0001174598362686,0.0015850493566454,0.0035402788934901,0.0076856629176753,"['1_LC08_172078_20190213', '1_LC08_172078_20190128', '1_LC08_172078_20190112', '1_LC08_172078_20181227', '2_LC08_172078_20190301']",0
0.0001525280183791,1.264080876057722e-05,0.0004578877112463,0.0009457447923818,0.0024699747716682,"['1_LC08_168076_20190508', '1_LC08_168076_20190422', '1_LC08_168076_20190406', '1_LC08_168076_20190321', '2_LC08_168076_20190524']",0
0.0001811086579888,7.403990932149575e-05,0.0004251747097499,0.0007913578424282,0.0018884578705186,"['1_LC08_170082_20190725', '1_LC08_170082_20190709', '1_LC08_170082_20190623', '1_LC08_170082_20190607', '2_LC08_170082_20190810']",1
9.006321730112337e-05,3.137988392366387e-05,0.0002127185779543,0.0003963282877921,0.000884485509967,"['1_LC08_173079_20190425', '1_LC08_173079_20190409', '1_LC08_173079_20190324', '1_LC08_173079_20190308', '2_LC08_173079_20190511']",0
7.880169608895962e-05,7.880169608895962e-05,7.880169608895962e-05,0.0008478868700516,0.005007671892479,"['1_LC08_175077_20190101', '1_LC08_175077_20181216', '1_LC08_175077_20181130', '1_LC08_175077_20181114', '2_LC08_175077_20190117']",0
0.0006098129280777,7.594192695052592e-05,0.0013372515689683,0.0023174451939741,0.0050004702972231,"['1_LC08_168080_20190711', '1_LC08_168080_20190625', '1_LC08_168080_20190609', '1_LC08_168080_20190524', '2_LC08_168080_20190727']",1
1.380685277149838e-05,1.380685277149838e-05,1.380685277149838e-05,4.267944316711565e-05,0.0001977302412177,"['1_LC08_177079_20181230', '1_LC08_177079_20181214', '1_LC08_177079_20181128', '1_LC08_177079_20181112', '2_LC08_177079_20190115']",0
5.346177691380228e-05,5.346177691380228e-05,0.0001726040041683,0.0006687108976775,0.0025005089946972,"['1_LC08_167079_20190415', '1_LC08_167079_20190330', '1_LC08_167079_20190314', '1_LC08_167079_20190226', '2_LC08_167079_20190501']",0
1.5552988834130317e-05,1.5552988834130317e-05,1.5552988834130317e-05,1.5552988834130317e-05,8.433103285571683e-05,"['1_LC08_177079_20190405', '1_LC08_177079_20190320', '1_LC08_177079_20190304', '1_LC08_177079_20190216', '2_LC08_177079_20190421']",0
